"把自己当作珍珠，就时时有怕被埋没的痛苦；把自己当作泥土吧，让众人把你踩成一条路。"|鲁迅
"白马湖的黄昏，比白昼更有一种温柔。让人想在湖畔的长椅上，静静看最后一抹晚霞散去。"|春晖纪实
"所谓任意门，不是为了逃离现在，而是为了让春晖的少年人无论走到哪里，推开门都能看见白马湖的春水。"|口播搭档独白
"看不见的城市。在那些交织的廊道中，我们寻找的不是过往，而是我们在青春里彼此重逢的证据。"|卡尔维诺
"对人性的剖析常常让我们羞愧，但唯有真诚的相待，才能在这个冷漠时代融化冰雪。"|拉罗什富科
"每一个不曾起舞的日子，都是对生命的辜负。"|尼采
"我们比想象的更有力量，我们也比想象的更脆弱。"|卡尔·维纳
"青春是一场大雨，即使感冒了，还是盼望回头再淋一次。"|张爱玲
"所有的大人都曾经是孩子，尽管只有少数人记得这一点。"|圣·埃克苏佩里
"走远了，才知道出发时有多勇敢。"|佚名
"教育不是灌满一桶水，而是点燃一把火。"|叶芝
"你所浪费的今天，是昨天死去的人奢望的明天。"|佚名
"人生没有彩排，每天都是现场直播。"|佚名
"少年，你不知道你有多幸运，因为你还不知道你有多厉害。"|佚名
"春晖以春为名，以晖为志。在这里，每个少年都有机会被看见。"|春晖校刊
